وقال، ماما، لقد عدت للمنزل.	اتصل بأمه حالما أوصلته حافلة المدرسية.	neutral
وقال، ماما، لقد عدت للمنزل.	لم ينطق ببنت شفة.	contradiction
وقال، ماما، لقد عدت للمنزل.	أخبر أمه أنه قد عاد للمنزل.	entailment
لم أعرف من أجل ماذا أنا ذاهب أو أي شىْ ، لذلك كان علي أن أبلغ عن مكان محددا في واشنطن.	لم أذهب إلى واشنطن من قبل، لذا عندما تم تكليفي بالعمل هناك، ضللت عند محاولة العثور على أحد الأماكن.	neutral
لم أعرف من أجل ماذا أنا ذاهب أو أي شىْ ، لذلك كان علي أن أبلغ عن مكان محددا في واشنطن.	لقد عرفت بالضبط ما الذي احتجت أن أفعله عندما مشيت إلى واشنطن.	contradiction
لم أعرف من أجل ماذا أنا ذاهب أو أي شىْ ، لذلك كان علي أن أبلغ عن مكان محددا في واشنطن.	لم أكن متأكدًا مما سأفعله لذلك ذهبت إلى واشنطن حيث تم تكليفي بالإبلاغ.	entailment
لم يكن عليه أن يذهب.	كان أول من تم دعوته واستمتع بالتجربة.	contradiction
لم يكن عليه أن يذهب.	لم يُسمح له بالحضور.	entailment
لم يكن عليه أن يذهب.	لم يسمح له بالذهاب إلى افتتاح المتحف.	neutral
وكنت بحالة حسنة، وكان ذلك!	بعد أن قلت نعم ، انتهى الأمر.	entailment
وكنت بحالة حسنة، وكان ذلك!	قلت لا، واستمروا.	contradiction
وكنت بحالة حسنة، وكان ذلك!	عندما أجبت بنعم، قررت أننا سنتزوج في ذلك اليوم.	neutral
لقد كنت هناك للتو محاولاً أن أعرف الأمر.	فهمت ذلك جيدا من البداية.	contradiction
لقد كنت هناك للتو محاولاً أن أعرف الأمر.	كنت أحاول أن أفهم أين ذهبت الأموال.	neutral
لقد كنت هناك للتو محاولاً أن أعرف الأمر.	كنت أحاول أن أفهم.	entailment
